CODIGO;PRACTICA;Precio1;Precio2;Precio3;Precio4
6;Acth;2600;4300;8500;2600
13;Aglutininas;400;700;1400;400
18;Aldolasa;1900;3100;6200;1900
19;Aldosterona;3100;5200;10400;3100
20;Alfa Feto Prot.E.Q.L.;2600;4300;8500;2600
22;Amilasemia;800;1300;2500;800
23;Amilasuria;600;1000;1900;600
35;Antibiograma;1200;2100;4100;1200
36;Antibiogr.Bacilo De Koch;1400;2300;4600;1400
41;Antic.Antimembrana Basal;2400;4000;8000;2400
42;Antic.Antimúsculo Liso;2400;4000;8000;2400
48;Antidesoxirribonucleico;2700;4400;8900;2700
51;Antiestreptolisina 0;1100;1800;3600;1100
55;Antimitocondriales, Antic.;2700;4500;8900;2700
56;Antinucleares, Anticuerpos;2900;4800;9500;2900
63;Anticuerpo Anti Vih-Elisa;2800;4600;9200;2800
101;Baciloscopía Directa;600;1000;2100;600
102;Baciloscopía Direc.Y Cultivo;1500;2500;5000;1500
105;Bacteriología Dir. Y Cultivo;1500;2600;5100;1500
108;"Bence Jones;Proteínas";900;1600;3100;900
110;Bilirrubinemia Total, Dir.E In.;400;700;1300;400
133;Calcemia Total;400;600;1200;400
134;Calcio Iónico;1200;2100;4100;1200
136;Calciuria;400;600;1200;400
137;Calcitonina Plasmática ;2600;4300;8500;2600
138;Cálculo Urinario, Exámen;2200;3600;7300;2200
144;Cea(Carcino Embriogén);3200;5400;10800;3200
147;Células L.E.;400;600;1200;400
169;Coagulación Y Sangría,T;300;600;1100;300
171;Coagulograma Básico;1500;2600;5100;1500
174;Colesterol Total;600;1000;1900;600
176;Colonias, Recuento;500;800;1700;500
180;Complemento(C3-C4);2600;4400;8800;2600
184;Coombs Directa-Prueba;400;700;1400;400
186;Coombs Indirecta, Cuant.;1500;2500;5000;1500
187;Coprocultivo;2600;4300;8500;2600
189;Cortisol Plasmático;2600;4300;8500;2600
190;Creatinquinasa-Cpk;1300;2100;4300;1300
192;Creatinina Orina O Sangre;500;900;1800;500
193;Creatinina Clearence O Dep.;1200;1900;3800;1200
203;Monit.Drog. Ácid.Valproico;4000;6600;13300;4000
204;Monit.Drog.Carbamazepine;4000;6600;13300;4000
205;Mon.Drog.Dif.-Hidant.-Fento.;4000;6600;13300;4000
206;Mon.Drog.Fenobarbital;4000;6600;13300;4000
207;Mon.Drog.Teofilina;4000;6600;13300;4000
208;Delta 4 Androsterodiona;4000;6600;13300;4000
209;Dehidroepiandrosterona;4000;6600;13300;4000
211;Ant.Microsomal-Tiroide E.Q.L;4000;6600;13300;4000
212;Ant.Antitiroglobulina E.Q.L;4000;6600;13300;4000
243;Chagas, Inmunofluorescen.;1800;2900;5900;1800
293;Embarazo, Reación Inmulog.;900;1500;3100;900
295;Eosinófilos;300;400;900;300
297;Eritrosedimentación;300;400;900;300
300;Estradiol Plasmático X E.Q.L;2500;4100;8200;2500
302;Estriol Plasmático X E.Q.L;2600;4300;8500;2600
304;Estrógenos Totales X E.Q.L.;2600;4300;8500;2600
309;Exudado Nasofaríngeo;400;700;1400;400
331;Factor De Coagulacion V;2200;3700;7400;2200
332;Factor De Coagulacion Vii;4500;7400;14900;4500
333;Factor De Coagulación Viii;3700;6200;12400;3700
334;Factor De Coagulación Ix;3700;6200;12400;3700
335;Factor De Coagulación X;2200;3700;7400;2200
343;Ferremia;600;1100;2100;600
345;Fibrinógenos En Sangre;700;1200;2500;700
348;Fijación De Compl.P Brucelas;400;700;1400;400
353;Fondo Oscuro;1000;1700;3300;1000
355;Fosfatasa Ácida Prostática;700;1200;2500;700
356;Fosfatasa Ácida Total;700;1200;2500;700
357;Fosfatasa Alcalina;600;1000;1900;600
362;Fosfatemia O Fosfaturia;300;500;1100;300
370;Fsh X E.Q.L.;2500;4100;8200;2500
371;Fta-Abs-Inmunofluorescenc.;2200;3700;7400;2200
405;Gastrina Plasmática Por E.Q.L.;2600;4300;8500;2600
409;Globulos Blancos Recuiento De;200;400;700;200
410;Globulos Rojos Recuento De;200;400;700;200
412;Glucemia;400;700;1400;400
413;Glucemia, Curva De Tolerancia;2000;3300;6600;2000
414;Glucemia Post-Prandial;1400;2300;4500;1400
420;Glutamil Transpeptidasa,Gama;600;900;1900;600
424;Gonadotrofinas Coriónicas,Cuant.;3300;5400;10900;3300
429;Gota Gruesa;600;900;1900;600
430;Graham, Test Seriado;800;1300;2600;800
433;Grupo Sanguíneo;400;700;1400;400
466;Hematocrito;300;500;1100;300
468;HEMOCULTIVO, AEROBIOS Y ANAEROBIOS.                                                                 ;2100;3500;7000;2100
475;Hemograma;700;1100;2200;700
481;Hepatograma;1300;2200;4300;1300
483;Hidatidosis,Hemoagl.-Arco Cinco;1200;2100;4100;1200
494;Huddleson Reacción De;700;1100;2200;700
532;Identificación Serológica De Ger.;1300;2100;4300;1300
537;Inmunoglobulina A Iga;1300;2200;4300;1300
538;Inmunoglobulina D;800;1400;2800;800
539;Inmunoglobulina E;3300;5400;10900;3300
540;Inmunoglobulina G;1300;2200;4300;1300
541;Inmunoglobulina M;1600;2600;5200;1600
543;Insulina Por E.Q.L;2600;4300;8500;2600
546;Ionograma Plasmático;800;1300;2700;800
547;Ionograma Urinario;600;1000;2000;600
594;Láctico Dehidrogenasa Ldh;700;1100;2200;700
598;Látex Artritis Reumatoidea;1000;1700;3400;1000
612;L:H. Por E.Q.L;2500;4100;8200;2500
613;Lipasa En Sangre;900;1600;3100;900
614;Lipemia O Lípidos Totales Sangre;300;600;1100;300
617;Ldl-Colesterol ( Ips 617);1600;2600;5200;1600
620;Líquido De Punción Fis-Químico;2200;3600;7200;2200
623;Litio Plasmático;1900;3100;6200;1900
